marca,modelo,ano,km,preco
FIAT,GRAND SIENA FLEX MT 1.4 4P,2021/2021 ,23.187 km ,R$ 62.990
JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,2019/2020 ,51.131 km ,R$ 88.890
MITSUBISHI,ECLIPSE CROSS HPE 1.5,2022/2023 ,47.270 km ,R$ 146.990
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,61.748 km ,R$ 67.990
FIAT,MOBI LIKE 1.0,2022/2023 ,75.411 km ,R$ 52.990
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,54.248 km ,R$ 67.990
VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2023 ,3.896 km ,R$ 133.990
PEUGEOT,208 LIKE ESSENCIAL MT 1.6 4P,2021/2022 ,47.623 km ,R$ 61.990
VOLKSWAGEN,VOYAGE MPI AT 1.6 4P,2021/2022 ,36.725 km ,R$ 70.190
RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,2019/2020 ,83.226 km ,R$ 84.090
RENAULT,DUSTER ZEN AT SCE 1.6 4P,2020/2021 ,95.258 km ,R$ 83.290
HYUNDAI,HB20 EVOLUTION 1.0,2022/2022 ,51.287 km ,R$ 67.590
FIAT,ARGO FLEX 1.0 4P,2022/2023 ,64.453 km ,R$ 62.890
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2021/2022 ,58.239 km ,R$ 58.190
CHEVROLET,ONIX LT AT TURBO 1.0 4P,2020/2020 ,46.319 km ,R$ 79.490
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,36.550 km ,R$ 84.790
FIAT,MOBI LIKE 1.0,2022/2023 ,60.230 km ,R$ 54.290
VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,2019/2020 ,49.039 km ,R$ 122.900
FIAT,TORO ENDURANCE FLEX MT 4X2 1.8 4P,2020/2020 ,37.115 km ,R$ 95.900
FIAT,CRONOS DRIVE 1.0,2022/2023 ,40.676 km ,R$ 74.890
VOLKSWAGEN,GOL MPI 1.0 4P,2019/2020 ,20.283 km ,R$ 55.390
CHERY,TIGGO 5X PRO 1.5,2022/2023 ,16.866 km ,R$ 146.090
CHEVROLET,ONIX PLUS LT 1.0,2022/2023 ,27.451 km ,R$ 82.990
CHEVROLET,SPIN PREMIER 7L 1.8,2022/2023 ,43.857 km ,R$ 103.790
MITSUBISHI,ECLIPSE CROSS GLS 1.5,2022/2023 ,39.461 km ,R$ 135.690
RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,2019/2020 ,50.706 km ,R$ 78.890
VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,2022/2023 ,47.610 km ,R$ 112.990
RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,2019/2020 ,65.677 km ,R$ 77.990
VOLVO,XC40 T4 MOMENTUM 2.0,2020/2021 ,34.307 km ,R$ 205.390
VOLKSWAGEN,GOL MPI 1.0 4P,2022/2023 ,47.931 km ,R$ 59.390
JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,2020/2021 ,35.874 km ,R$ 122.190
VOLKSWAGEN,GOL MPI MT 1.6 4P,2020/2021 ,88.690 km ,R$ 54.190
VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,2019/2019 ,70.813 km ,R$ 133.990
FIAT,CRONOS DRIVE 1.3,2022/2022 ,42.098 km ,R$ 76.290
FIAT,ARGO DRIVE 1.0 4P,2022/2022 ,18.503 km ,R$ 69.290
FIAT,CRONOS DRIVE 1.3,2022/2022 ,43.356 km ,R$ 76.290
FIAT,CRONOS DRIVE 1.3 4P,2022/2022 ,50.926 km ,R$ 75.490
VOLKSWAGEN,VOYAGE 1.6,2021/2022 ,61.897 km ,R$ 64.990
TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,2021/2022 ,39.921 km ,R$ 125.990
FIAT,ARGO DRIVE 1.0 4P,2020/2020 ,66.288 km ,R$ 55.900
FIAT,STRADA CP ENDURANCE FLEX 1.4 2P,2022/2022 ,25.980 km ,R$ 79.390
HYUNDAI,HB20S EVOLUTION 1.0,2022/2022 ,71.575 km ,R$ 66.490
HYUNDAI,HB20 EVOLUTION 1.0 4P,2022/2022 ,78.809 km ,R$ 65.590
HYUNDAI,HB20 VISION 1.0 4P,2022/2022 ,41.885 km ,R$ 66.290
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2022/2023 ,40.579 km ,R$ 61.790
FIAT,CRONOS DRIVE 1.3,2022/2022 ,46.629 km ,R$ 69.990
VOLKSWAGEN,GOL MPI 1.0 4P,2021/2022 ,73.549 km ,R$ 53.190
VOLKSWAGEN,VIRTUS COMFORTLINE 200 TSI AT 1.0 4P,2021/2021 ,50.200 km ,R$ 77.790
